   No. ,   SiO2  ,   Na2O  ,   CaO   ,   K2O   ,   FeOt,   MgO   ,   Cr2O3 ,   TiO2  ,   MnO   ,   Al2O3 ,   P2O5  ,   NiO   ,  Total  ,
444,49.33,1.41,12.38,0.0761,8.57,8.98,0.0781,1.6571,0.2331,14.23,0.1246,0,97.0691,
445,50,1.42,12.32,0.0848,8.8,9.06,0.056,1.69,0.2314,14.13,0.2224,0,98.0146,
446,50.6,1.41,12.07,0.0715,8.33,8.65,0.0456,1.68,0.2147,14.02,0.2222,0,97.3141,
447,52.05,1.42,12.32,0.0915,8.29,8.49,0.0785,1.68,0.1825,14.13,0.188,0,98.9205,
448,53.46,1.2681,12.16,0.1085,8.1,7.69,0.0639,1.6329,0.2006,13.11,0.1086,0.0147,97.9174,
449,54.27,1.243,12.26,0.0747,7.95,7.41,0.0729,1.6535,0.2454,12.73,0.1759,0,98.0855,
