   No. ,   SiO2  ,   Na2O  ,   CaO   ,   K2O   ,   FeOt,   MgO   ,   Cr2O3 ,   TiO2  ,   MnO   ,   Al2O3 ,   P2O5  ,   NiO   ,  Total  ,
453,38.7,0,0.3689,0,13.23,47.54,0.0836,0.066,0.2959,0.0552,0.1787,0.0169,100.5351,
455,38.84,0,0.4097,0,13.18,47.02,0.0858,0.0747,0.2624,0.0528,0.1349,0.0246,100.0848,
456,38.88,0.0065,0.3506,0.0069,13.34,46.69,0.0751,0.1142,0.2717,0.0614,0.09,0.0068,99.8932,
457,38.47,0.0101,0.3723,0.0209,13.45,47.47,0.0664,0.0901,0.2896,0.0975,0.1811,0,100.518,
459,38.27,0.0495,0.3854,0.0122,13.21,47.75,0.0538,0.0759,0.2518,0.118,0.1518,0.023,100.3513,
463,38.4,0.0178,0.3189,0.0089,13.29,48.6,0.0529,0.0755,0.274,0.0561,0.1537,0.0166,101.2644,
464,38.14,0,0.3774,0.0066,13.47,48.3,0.0659,0.1056,0.2771,0.062,0.069,0.0219,100.8954,
465,39.53,0,0.3239,0.0022,13.51,46.82,0.0759,0.057,0.2912,0.0534,0.0725,0,100.736,
